time_utc,acceleration_mgs_x,acceleration_mgs_y,acceleration_mgs_z
2022-05-24 07:17:14+00:00,-913.4,-51.6,-315.4
2022-05-24 07:17:15+00:00,-911.2,-94.8,-200
2022-05-24 07:17:16+00:00,-842.6,-44.6,-253.86
2022-05-24 07:17:17+00:00,-815.3,-22.3,-280.3
2022-05-24 07:17:18+00:00,-787.96,0.04,-306.7
2022-05-24 07:17:19+00:00,-760.64,22.36,-333.14
2022-05-24 07:17:20+00:00,-733.32,44.68,-359.58
2022-05-24 07:17:21+00:00,-706,67,-386
2022-05-24 07:17:22+00:00,-678.68,89.32,-412.42
2022-05-24 07:17:23+00:00,-651.36,111.64,-438.86
2022-05-24 07:17:24+00:00,-624.04,133.96,-465.3
2022-05-24 07:17:25+00:00,-596.7,156.3,-491.7
2022-05-24 07:17:26+00:00,-569.4,178.6,-518.14
2022-05-24 07:17:27+00:00,-819.8,-15.6,-286.4
2022-05-24 07:17:28+00:00,-883.6,32.2,-360.6
2022-05-24 07:17:29+00:00,-901.6,174.4,-334.8
2022-05-24 07:17:30+00:00,-632,409,-640.8
2022-05-24 07:17:31+00:00,-170.8,455.2,-281.4
2022-05-24 07:17:32+00:00,-808.6,462.4,-456
2022-05-24 07:17:33+00:00,-882.8,140,-357.2
2022-05-24 07:17:34+00:00,-923,70,-349
2022-05-24 07:17:35+00:00,-875.6,-30.6,-444.4
2022-05-24 07:17:36+00:00,-978.6,56.4,-387.4
2022-05-24 07:17:37+00:00,-888.4,-45,-123
2022-05-24 07:17:38+00:00,-994.4,-85.8,-6.8
2022-05-24 07:17:39+00:00,-1098,-2.2,-45.6
2022-05-24 07:17:40+00:00,-829,30.8,-186.2
2022-05-24 07:17:41+00:00,-983.24,33.26,-101.76
2022-05-24 07:17:42+00:00,-960.6,29.3,-32.2
2022-05-24 07:17:43+00:00,-1031.4,39.2,-27.8
2022-05-24 07:17:44+00:00,-967.2,-10.8,24
2022-05-24 07:17:45+00:00,-973,68,-163
2022-05-24 07:17:46+00:00,-957.2,47.4,-45.4
2022-05-24 07:17:47+00:00,-943.6,-41.6,-37.6
2022-05-24 07:17:48+00:00,-1037.8,9.4,26.6
